"make","model","generation","year_from","year_to","popularity"
"212","T01","212_212_T01","2024","2026","0"
"212","T10","212_212_T10","2026","2026","0"
"Abarth","124 Spider","ABARTH_124_SPIDER","2016","2020","0"
"Abarth","500","ABARTH_500","2008","2026","0"
"Abarth","595","ABARTH_595","2012","2024","0"
"Abarth","600e","ABARTH_600E","2024","2026","0"
"Abarth","695","ABARTH_695","2010","2024","0"
"Abarth","Fastback","ABARTH_FASTBACK","2023","2026","0"
"Abarth","Pulse","ABARTH_PULSE","2022","2026","0"
"AC","378 GT Zagato","AC_378_GT","2012","2012","0"
"AC","Ace","AC_ACE","1992","2000","0"
"AC","Aceca","AC_ACECA","1998","2000","0"
"AC","Cobra","AC_COBRA","1965","2015","0"
"AC","Cobra GT","AC_COBRA_GT","2023","2026","0"
"Acura","ADX","ACURA_ADX","2024","2026","0"
"Acura","CDX","ACURA_CDX","2016","2021","0"
"Acura","CL","ACURA_CL","1996","2003","0"
"Acura","CSX","ACURA_CSX","2005","2011","0"
"Acura","EL","ACURA_EL","1997","2005","0"
"Acura","ILX","ACURA_ILX","2012","2022","0"
"Acura","Integra","ACURA_INTEGRA","1986","2026","0"
"Acura","Legend","ACURA_LEGEND","1986","1996","0"
"Acura","MDX","ACURA_MDX","2000","2026","0"
"Acura","NSX","ACURA_NSX","1990","2022","0"
"Acura","RDX","ACURA_RDX","2006","2026","0"
"Acura","RL","ACURA_RL","1995","2012","0"
"Acura","RLX","ACURA_RLX","2013","2020","0"
"Acura","RSX","ACURA_RSX","2001","2006","0"
"Acura","SLX","ACURA_SLX","1995","1999","0"
"Acura","TL","ACURA_TL","1995","2014","0"
"Acura","TLX","ACURA_TLX","2014","2026","0"
"Acura","TSX","ACURA_TSX","2003","2014","0"
"Acura","ZDX","ACURA_ZDX","2009","2026","0"
"Adam","Revo","ADAM_REVO","2005","2006","0"
"Adler","Diplomat","ADLER_DIPLOMAT","1934","1940","0"
"Adler","Trumpf Junior","ADLER_TRUMPF_JUNIOR","1934","1941","0"
"GAC Aion","Hyptec GT (Hyper GT)","AION_HYPER_GT","2023","2026","0"
"GAC Aion","Hyptec HT (Hyper HT)","AION_HYPER_HT","2023","2026","0"
"GAC Aion","Hyptec SSR (Hyper SSR)","AION_HYPER_SSR","2023","2026","0"
"GAC Aion","Hyptec A800","AION_HYPTEC_A800","2026","2026","0"
"GAC Aion","Hyptec HL","AION_HYPTEC_HL","2025","2026","0"
"GAC Aion","I60","AION_I60","2025","2026","0"
"GAC Aion","LX","AION_LX","2019","2022","0"
"GAC Aion","LX Plus","AION_LX_PLUS","2022","2026","0"
"GAC Aion","N60","AION_N60","2026","2026","0"
"GAC Aion","RT","AION_RT","2024","2026","0"
"GAC Aion","S","AION_S","2019","2026","0"
"GAC Aion","S Plus","AION_S_PLUS","2021","2023","0"
"GAC Aion","UT","AION_UT","2025","2026","0"
"GAC Aion","V","AION_V","2020","2026","0"
"GAC Aion","Y","AION_Y","2021","2022","0"
"GAC Aion","Y Plus","AION_Y_PLUS","2022","2026","0"
"Aito","M5","AITO_M5","2022","2026","0"
"Aito","M6","AITO_M6","2026","2026","0"
"Aito","M7","AITO_M7","2022","2026","0"
"Aito","M8","AITO_M8","2025","2026","0"
"Aito","M9","AITO_M9","2023","2026","0"
"Aiways","U5","AIWAYS_U5","2019","2023","0"
"Aiways","U6","AIWAYS_U6","2021","2023","0"
"Aixam","500","AIXAM_500","2000","2004","0"
"Alfa Romeo","105/115","ALFA_ROMEO_105_115","1965","1977","0"
"Alfa Romeo","145","ALFA_ROMEO_145","1994","2001","0"
"Alfa Romeo","146","ALFA_ROMEO_146","1995","2001","0"
"Alfa Romeo","147","ALFA_ROMEO_147","2000","2010","0"
"Alfa Romeo","155","ALFA_ROMEO_155","1992","1997","0"
"Alfa Romeo","156","ALFA_ROMEO_156","1997","2007","0"
"Alfa Romeo","159","ALFA_ROMEO_159","2005","2011","0"
"Alfa Romeo","164","ALFA_ROMEO_164","1987","1998","0"
"Alfa Romeo","166","ALFA_ROMEO_166","1998","2007","0"
"Alfa Romeo","1900","ALFA_ROMEO_1900","1950","1959","0"
"Alfa Romeo","2600","ALFA_ROMEO_2600","1962","1968","0"
"Alfa Romeo","33","ALFA_ROMEO_33","1983","1994","0"
"Alfa Romeo","33 Stradale","ALFA_ROMEO_33_STRADALE","2024","2026","0"
"Alfa Romeo","4C","ALFA_ROMEO_4C","2013","2020","0"
"Alfa Romeo","6","ALFA_ROMEO_6","1979","1988","0"
"Alfa Romeo","6C","ALFA_ROMEO_6C","1927","1933","0"
"Alfa Romeo","75","ALFA_ROMEO_75","1985","1992","0"
"Alfa Romeo","8C Competizione","ALFA_ROMEO_8C_COMPETIZIONE","2007","2010","0"
"Alfa Romeo","90","ALFA_ROMEO_90","1984","1987","0"
"Alfa Romeo","Alfasud","ALFA_ROMEO_ALFASUD","1971","1983","0"
"Alfa Romeo","Alfetta","ALFA_ROMEO_ALFETTA","1972","1987","0"
"Alfa Romeo","Arna","ALFA_ROMEO_ARNA","1983","1987","0"
"Alfa Romeo","Brera","ALFA_ROMEO_BRERA","2005","2010","0"
"Alfa Romeo","Disco Volante","ALFA_ROMEO_DISCO_VOLANTE","2013","2013","0"
"Alfa Romeo","Giulia","ALFA_ROMEO_GIULIA","1962","2026","0"
"Alfa Romeo","Giulietta","ALFA_ROMEO_GIULIETTA","1954","2020","0"
"Alfa Romeo","GT","ALFA_ROMEO_GT","2003","2010","0"
"Alfa Romeo","GTA Coupe","ALFA_ROMEO_GTA","1965","1975","0"
"Alfa Romeo","GTV","ALFA_ROMEO_GTV","1995","2006","0"
"Alfa Romeo","Junior","ALFA_ROMEO_JUNIOR","2024","2026","0"
"Alfa Romeo","MiTo","ALFA_ROMEO_MITO","2008","2018","0"
"Alfa Romeo","Montreal","ALFA_ROMEO_MONTREAL","1970","1979","0"
"Alfa Romeo","RZ","ALFA_ROMEO_RZ","1992","1994","0"
"Alfa Romeo","Spider","ALFA_ROMEO_SPIDER","1966","2010","0"
"Alfa Romeo","Sprint","ALFA_ROMEO_SPRINT","1983","1989","0"
"Alfa Romeo","Stelvio","ALFA_ROMEO_STELVIO","2016","2026","0"
"Alfa Romeo","SZ","ALFA_ROMEO_SZ","1989","1991","0"
"Alfa Romeo","Tonale","ALFA_ROMEO_TONALE","2022","2026","0"
"Alpina","B10","ALPINA_B10","1984","2004","0"
"Alpina","B11","ALPINA_B11","1987","1994","0"
"Alpina","B12","ALPINA_B12","1988","2001","0"
"Alpina","B3","ALPINA_B3","1987","2026","0"
"Alpina","B4","ALPINA_B4","2013","2026","0"
"Alpina","B5","ALPINA_B5","2005","2024","0"
"Alpina","B6","ALPINA_B6","1978","2017","0"
"Alpina","B7","ALPINA_B7","1978","2022","0"
"Alpina","B8","ALPINA_B8","1979","2026","0"
"Alpina","B9","ALPINA_B9","1981","1985","0"
"Alpina","C1","ALPINA_C1","1980","1987","0"
"Alpina","C2","ALPINA_C2","1985","1987","0"
"Alpina","D10","ALPINA_D10","1999","2003","0"
"Alpina","D3","ALPINA_D3","2005","2026","0"
"Alpina","D4","ALPINA_D4","2014","2026","0"
"Alpina","D5","ALPINA_D5","2011","2024","0"
"Alpina","Roadster","ALPINA_ROADSTER","1990","2005","0"
"Alpina","XB7","ALPINA_XB7","2020","2026","0"
"Alpina","XD3","ALPINA_XD3","2012","2026","0"
"Alpina","XD4","ALPINA_XD4","2018","2026","0"
"Alpine","A110","ALPINE_A110","1961","2026","0"
"Alpine","A290","ALPINE_A290","2024","2026","0"
"Alpine","A310","ALPINE_A310","1971","1985","0"
"Alpine","A390","ALPINE_A390","2025","2026","0"
"Alpine","A610","ALPINE_A610","1991","1995","0"
"Alpine","GTA","ALPINE_GTA","1985","1990","0"
"Амберавто","А5","AMBERAUTO_A5","2023","2026","0"
"Ambertruck","Work","AMBERTRUCK_WORK","2024","2026","0"
"AMC","Eagle","AMC_EAGLE","1979","1987","0"
"AMC","Gremlin","AMC_GREMLIN","1970","1978","0"
"AMC","Hornet","AMC_HORNET","1974","1975","0"
"AMC","Matador","AMC_MATADOR","1974","1978","0"
"AMC","Rambler Ambassador","AMC_RAMBLER_AMBASSADOR","1965","1972","0"
"AMC","Rambler Classic","AMC_RAMBLER_CLASSIC","1961","1966","0"
"AM General","HMMWV (Humvee)","AM_GENERAL_HUMVEE","1984","2006","0"
"Apal","21541 Stalker","APAL_21541","2018","2020","0"
"Arcfox","Alpha S","ARCFOX_ALPHA_S","2021","2025","0"
"Arcfox","Alpha S5","ARCFOX_ALPHA_S5","2024","2026","0"
"Arcfox","Alpha S6","ARCFOX_ALPHA_S6","2025","2026","0"
"Arcfox","Alpha T","ARCFOX_ALPHA_T","2020","2025","0"
"Arcfox","Alpha T5","ARCFOX_ALPHA_T5","2023","2026","0"
"Arcfox","Alpha T6","ARCFOX_ALPHA_T6","2025","2026","0"
"Arcfox","Kaola","ARCFOX_KAOLA","2023","2026","0"
"Arcfox","Lite","ARCFOX_LITE","2017","2020","0"
"Arcfox","S3","ARCFOX_S3","2026","2026","0"
"Arcfox","T1","ARCFOX_T1","2025","2026","0"
"Ariel","Atom","ARIEL_ATOM","2000","2026","0"
"Ariel","Nomad","ARIEL_NOMAD","2015","2026","0"
"Aro","10","ARO_10","1984","2006","0"
"Aro","24","ARO_24","1972","2006","0"
"Asia","Retona","ASIA_RETONA","1998","2003","0"
"Asia","Rocsta","ASIA_ROCSTA","1990","1998","0"
"Asia","Topic","ASIA_TOPIC","1987","1999","0"
"Asia","Towner","ASIA_TOWNER","1992","1999","0"
"Aston Martin","Bulldog","ASTON_MARTIN_BULLDOG","1980","1982","0"
"Aston Martin","Cygnet","ASTON_MARTIN_CYGNET","2011","2013","0"
"Aston Martin","DB11","ASTON_MARTIN_DB11","2016","2023","0"
"Aston Martin","DB12","ASTON_MARTIN_DB12","2023","2026","0"
"Aston Martin","DB5","ASTON_MARTIN_DB5","1963","1965","0"
"Aston Martin","DB6","ASTON_MARTIN_DB6","1965","1970","0"
"Aston Martin","DB7","ASTON_MARTIN_DB7","1994","2003","0"
"Aston Martin","DB9","ASTON_MARTIN_DB9","2003","2016","0"
"Aston Martin","DBS","ASTON_MARTIN_DBS","1967","2024","0"
"Aston Martin","DBX","ASTON_MARTIN_DBX","2020","2026","0"
"Aston Martin","DB AR1","ASTON_MARTIN_DB_AR_1","2003","2004","0"
"Aston Martin","Lagonda","ASTON_MARTIN_LAGONDA","1976","1997","0"
"Aston Martin","Lagonda Taraf","ASTON_MARTIN_LAGONDA_TARAF","2015","2016","0"
"Aston Martin","One-77","ASTON_MARTIN_ONE_77","2009","2012","0"
"Aston Martin","Rapide","ASTON_MARTIN_RAPIDE","2010","2020","0"
"Aston Martin","Tickford Capri","ASTON_MARTIN_TICKFORD_CAPRI","1982","1985","0"
"Aston Martin","Vanquish","ASTON_MARTIN_V12","2001","2026","0"
"Aston Martin","V12 Speedster","ASTON_MARTIN_V12_SPEEDSTER","2020","2022","0"
"Aston Martin","V12 Vantage","ASTON_MARTIN_V12_VANTAGE","2009","2026","0"
"Aston Martin","V12 Zagato","ASTON_MARTIN_V12_ZAGATO","2011","2012","0"
"Aston Martin","V8 Vantage","ASTON_MARTIN_V8","1969","2026","0"
"Aston Martin","V8 Zagato","ASTON_MARTIN_V8_ZAGATO","1986","1989","0"
"Aston Martin","Valhalla","ASTON_MARTIN_VALHALLA","2025","2026","0"
"Aston Martin","Valiant","ASTON_MARTIN_VALIANT","2024","2026","0"
"Aston Martin","Valkyrie","ASTON_MARTIN_VALKYRIE","2021","2024","0"
"Aston Martin","Valour","ASTON_MARTIN_VALOUR","2023","2024","0"
"Aston Martin","Vanquish Zagato","ASTON_MARTIN_VANQUISH_ZAGATO","2004","2018","0"
"Aston Martin","Virage","ASTON_MARTIN_VIRAGE","1988","2012","0"
"Aston Martin","Vulcan","ASTON_MARTIN_VULCAN","2015","2016","0"
"Атом","01","ATOM_01","2025","2026","0"
"Auburn","Speedster","AUBURN_SPEEDSTER","1935","1937","0"
"Audi","100","AUDI_100","1968","1994","1"
"Audi","200","AUDI_200","1979","1991","1"
"Audi","50","AUDI_50","1974","1978","1"
"Audi","60","AUDI_60","1969","1973","1"
"Audi","80","AUDI_80","1972","1996","1"
"Audi","90","AUDI_90","1984","1995","1"
"Audi","920","AUDI_920","1938","1940","1"
"Audi","A1","AUDI_A1","2010","2026","1"
"Audi","A2","AUDI_A2","2000","2007","1"
"Audi","A3","AUDI_A3","1996","2026","1"
"Audi","A4","AUDI_A4","1994","2025","1"
"Audi","A4 allroad","AUDI_A4_ALLROAD","2009","2025","1"
"Audi","A5","AUDI_A5","2007","2026","1"
"Audi","A6","AUDI_A6","1994","2026","1"
"Audi","A6 e-tron","AUDI_A6_E_TRON","2024","2026","1"
"Audi","A7","AUDI_A7","2010","2026","1"
"Audi","A8","AUDI_A8","1994","2026","1"
"Audi","A6 allroad","AUDI_ALLROAD","2000","2025","1"
"Audi","Cabriolet","AUDI_CABRIOLET","1991","2000","1"
"Audi","Coupe","AUDI_COUPE","1980","1996","1"
"Audi","E5","AUDI_E5","2025","2026","1"
"Audi","E7X","AUDI_E7X","2026","2026","1"
"Audi","e-tron","AUDI_E_TRON","2018","2023","1"
"Audi","e-tron GT","AUDI_E_TRON_GT","2020","2026","1"
"Audi","e-tron S","AUDI_E_TRON_S","2019","2022","1"
"Audi","e-tron Sportback","AUDI_E_TRON_SPORTBACK","2019","2022","1"
"Audi","e-tron S Sportback","AUDI_E_TRON_S_SPORTBACK","2019","2022","1"
"Audi","Front","AUDI_FRONT","1935","1938","1"
"Audi","NSU RO 80","AUDI_NSU_RO_80","1967","1977","1"
"Audi","Q2","AUDI_Q2","2016","2026","1"
"Audi","Q3","AUDI_Q3","2011","2026","1"
"Audi","Q3 Sportback","AUDI_Q3_SPORTBACK","2019","2026","1"
"Audi","Q4 e-tron","AUDI_Q4","2021","2026","1"
"Audi","Q4 Sportback e-tron","AUDI_Q4_SPORTBACK","2021","2026","1"
"Audi","Q5","AUDI_Q5","2008","2026","1"
"Audi","Q5 e-tron","AUDI_Q5_E_TRON","2022","2026","1"
"Audi","Q5 Sportback","AUDI_Q5_SPORTBACK","2020","2026","1"
"Audi","Q6","AUDI_Q6","2022","2026","1"
"Audi","Q6 e-tron","AUDI_Q6_E_TRON","2024","2026","1"
"Audi","Q6 Sportback e-tron","AUDI_Q6_SPORTBACK_E_TRON","2024","2026","1"
"Audi","Q7","AUDI_Q7","2005","2026","1"
"Audi","Q8","AUDI_Q8","2018","2026","1"
"Audi","Q8 e-tron","AUDI_Q8_E_TRON","2022","2026","1"
"Audi","Q8 Sportback e-tron","AUDI_Q8_SPORTBACK_E_TRON","2022","2025","1"
"Audi","Quattro","AUDI_QUATTRO","1980","1991","1"
"Audi","R8","AUDI_R8","2007","2023","1"
"Audi","R8 LMP","AUDI_R8_LMP","2000","2005","1"
"Audi","RS 2","AUDI_RS2","1993","1995","1"
"Audi","RS 3","AUDI_RS3","2011","2026","1"
"Audi","RS 4","AUDI_RS4","1999","2026","1"
"Audi","RS 5","AUDI_RS5","2010","2026","1"
"Audi","RS 6","AUDI_RS6","2002","2025","1"
"Audi","RS 7","AUDI_RS7","2013","2025","1"
"Audi","RS Q3","AUDI_RSQ3","2013","2026","1"
"Audi","RS e-tron GT","AUDI_RS_E_TRON_GT","2020","2026","1"
"Audi","RS Q3 Sportback","AUDI_RS_Q3_SPORTBACK","2019","2026","1"
"Audi","RS Q8","AUDI_RS_Q8","2019","2026","1"
"Audi","S1","AUDI_S1","2014","2018","1"
"Audi","S2","AUDI_S2","1990","1995","1"
"Audi","S3","AUDI_S3","1999","2026","1"
"Audi","S4","AUDI_S4","1997","2026","1"
"Audi","S5","AUDI_S5","2007","2026","1"
"Audi","S6","AUDI_S6","1994","2025","1"
"Audi","S6 e-tron","AUDI_S6_E_TRON","2024","2026","1"
"Audi","S7","AUDI_S7","2012","2025","1"
"Audi","S8","AUDI_S8","1996","2026","1"
"Audi","SQ2","AUDI_SQ2","2018","2026","1"
"Audi","SQ5","AUDI_SQ5","2013","2026","1"
"Audi","SQ5 Sportback","AUDI_SQ5_SPORTBACK","2020","2026","1"
"Audi","SQ6 e-tron","AUDI_SQ6_E_TRON","2024","2026","1"
"Audi","SQ6 Sportback e-tron","AUDI_SQ6_SPORTBACK_E_TRON","2024","2026","1"
"Audi","SQ7","AUDI_SQ7","2016","2026","1"
"Audi","SQ8","AUDI_SQ8","2019","2026","1"
"Audi","SQ8 e-tron","AUDI_SQ8_E_TRON","2022","2026","1"
"Audi","SQ8 Sportback e-tron","AUDI_SQ8_SPORTBACK_E_TRON","2022","2025","1"
"Audi","S e-tron GT","AUDI_S_E_TRON_GT","2024","2026","1"
"Audi","TT","AUDI_TT","1998","2023","1"
"Audi","TTS","AUDI_TTS","2007","2023","1"
"Audi","TT RS","AUDI_TT_RS","2009","2023","1"
"Audi","Typ R","AUDI_TYP_R","1927","1929","1"
"Audi","V8","AUDI_V8","1988","1994","1"
"Aurus","Komendant","AURUS_KOMENDANT","2022","2026","0"
"Aurus","Lafet","AURUS_LAFET","2021","2026","0"
"Aurus","Senat","AURUS_SENAT","2018","2026","0"
"Austin","Allegro","AUSTIN_ALLEGRO","1973","1983","0"
"Austin","Ambassador","AUSTIN_AMBASSADOR","1982","1984","0"
"Austin","FL2","AUSTIN_FL2","1958","1978","0"
"Austin","FX4","AUSTIN_FX4","1958","1982","0"
"Austin","Maestro","AUSTIN_MAESTRO","1983","1997","0"
"Austin","Maxi","AUSTIN_MAXI","1969","1982","0"
"Austin","Metro","AUSTIN_METRO","1980","1990","0"
"Austin","Mini","AUSTIN_MINI","1967","1993","0"
"Austin","Montego","AUSTIN_MONTEGO","1984","1994","0"
"Austin","Princess","AUSTIN_PRINCESS","1972","1982","0"
"Austin","Sprite","AUSTIN_SPRITE","1958","1971","0"
"Austin Healey","100","AUSTIN_HEALEY_100","1956","1959","0"
"Austin Healey","3000","AUSTIN_HEALEY_3000","1959","1967","0"
